['Try', '116,', 'CPU', '5,', 'CC', 'All/Weak', '19.7', '/', '13.5,', 'CFOM', '33.2,', 'best', '41.0,', 'PATFOM', '29.95']
['Try', '117,', 'CPU', '14,', 'CC', 'All/Weak', '20.4', '/', '14.4,', 'CFOM', '34.8,', 'best', '41.0,', 'PATFOM', '26.64']
['Try', '118,', 'CPU', '8,', 'CC', 'All/Weak', '19.9', '/', '13.5,', 'CFOM', '33.4,', 'best', '41.0,', 'PATFOM', '29.67']
['Try', '119,', 'CPU', '10,', 'CC', 'All/Weak', '22.2', '/', '16.2,', 'CFOM', '38.5,', 'best', '41.0,', 'PATFOM', '25.57']
['Try', '120,', 'CPU', '11,', 'CC', 'All/Weak', '19.1', '/', '14.2,', 'CFOM', '33.3,', 'best', '41.0,', 'PATFOM', '23.84']
['Try', '121,', 'CPU', '12,', 'CC', 'All/Weak', '21.9', '/', '15.4,', 'CFOM', '37.2,', 'best', '41.0,', 'PATFOM', '25.60']
['Try', '122,', 'CPU', '3,', 'CC', 'All/Weak', '19.9', '/', '13.9,', 'CFOM', '33.7,', 'best', '41.0,', 'PATFOM', '25.96']
['Try', '123,', 'CPU', '6,', 'CC', 'All/Weak', '19.9', '/', '13.6,', 'CFOM', '33.5,', 'best', '41.0,', 'PATFOM', '28.09']
['Try', '124,', 'CPU', '15,', 'CC', 'All/Weak', '19.3', '/', '11.6,', 'CFOM', '30.9,', 'best', '41.0,', 'PATFOM', '27.17']
['Try', '125,', 'CPU', '4,', 'CC', 'All/Weak', '19.9', '/', '13.9,', 'CFOM', '33.7,', 'best', '41.0,', 'PATFOM', '25.96']
['Try', '126,', 'CPU', '2,', 'CC', 'All/Weak', '19.1', '/', '14.2,', 'CFOM', '33.4,', 'best', '41.0,', 'PATFOM', '23.84']
['Try', '127,', 'CPU', '13,', 'CC', 'All/Weak', '21.9', '/', '15.3,', 'CFOM', '37.2,', 'best', '41.0,', 'PATFOM', '26.24']
['Try', '128,', 'CPU', '9,', 'CC', 'All/Weak', '20.1', '/', '13.6,', 'CFOM', '33.7,', 'best', '41.0,', 'PATFOM', '29.07']
['Try', '129,', 'CPU', '16,', 'CC', 'All/Weak', '19.9', '/', '13.1,', 'CFOM', '33.1,', 'best', '41.0,', 'PATFOM', '25.98']
['Try', '130,', 'CPU', '1,', 'CC', 'All/Weak', '19.9', '/', '13.9,', 'CFOM', '33.7,', 'best', '41.0,', 'PATFOM', '25.96']
['Try', '131,', 'CPU', '7,', 'CC', 'All/Weak', '21.9', '/', '15.5,', 'CFOM', '37.3,', 'best', '41.0,', 'PATFOM', '25.78']
['Try', '132,', 'CPU', '5,', 'CC', 'All/Weak', '18.9', '/', '11.3,', 'CFOM', '30.3,', 'best', '41.0,', 'PATFOM', '27.74']
['Try', '133,', 'CPU', '14,', 'CC', 'All/Weak', '20.4', '/', '14.2,', 'CFOM', '34.6,', 'best', '41.0,', 'PATFOM', '28.90']
['Try', '134,', 'CPU', '8,', 'CC', 'All/Weak', '19.7', '/', '12.6,', 'CFOM', '32.3,', 'best', '41.0,', 'PATFOM', '33.51']
['Try', '135,', 'CPU', '10,', 'CC', 'All/Weak', '20.0', '/', '13.3,', 'CFOM', '33.3,', 'best', '41.0,', 'PATFOM', '29.43']
['Try', '136,', 'CPU', '11,', 'CC', 'All/Weak', '19.3', '/', '11.8,', 'CFOM', '31.1,', 'best', '41.0,', 'PATFOM', '27.74']
['Try', '137,', 'CPU', '12,', 'CC', 'All/Weak', '20.2', '/', '14.0,', 'CFOM', '34.2,', 'best', '41.0,', 'PATFOM', '28.87']
['Try', '138,', 'CPU', '3,', 'CC', 'All/Weak', '19.0', '/', '12.1,', 'CFOM', '31.1,', 'best', '41.0,', 'PATFOM', '25.48']
['Try', '139,', 'CPU', '6,', 'CC', 'All/Weak', '18.3', '/', '11.2,', 'CFOM', '29.5,', 'best', '41.0,', 'PATFOM', '25.12']
['Try', '140,', 'CPU', '15,', 'CC', 'All/Weak', '19.7', '/', '13.5,', 'CFOM', '33.2,', 'best', '41.0,', 'PATFOM', '29.95']
['Try', '141,', 'CPU', '4,', 'CC', 'All/Weak', '21.6', '/', '16.5,', 'CFOM', '38.1,', 'best', '41.0,', 'PATFOM', '25.64']
['Try', '142,', 'CPU', '2,', 'CC', 'All/Weak', '19.1', '/', '13.1,', 'CFOM', '32.2,', 'best', '41.0,', 'PATFOM', '23.79']
['Try', '143,', 'CPU', '13,', 'CC', 'All/Weak', '21.9', '/', '16.4,', 'CFOM', '38.3,', 'best', '41.0,', 'PATFOM', '27.09']
['Try', '144,', 'CPU', '9,', 'CC', 'All/Weak', '19.6', '/', '12.6,', 'CFOM', '32.3,', 'best', '41.0,', 'PATFOM', '31.99']
