['Try', '88,', 'CPU', '14,', 'CC', 'All/Weak', '21.1', '/', '16.6,', 'CFOM', '37.6,', 'best', '39.2,', 'PATFOM', '49.32']
['Try', '89,', 'CPU', '11,', 'CC', 'All/Weak', '21.1', '/', '16.5,', 'CFOM', '37.6,', 'best', '39.2,', 'PATFOM', '49.11']
['Try', '90,', 'CPU', '10,', 'CC', 'All/Weak', '21.2', '/', '16.7,', 'CFOM', '37.9,', 'best', '39.2,', 'PATFOM', '49.32']
['Try', '91,', 'CPU', '6,', 'CC', 'All/Weak', '21.1', '/', '16.5,', 'CFOM', '37.6,', 'best', '39.2,', 'PATFOM', '49.11']
['Try', '92,', 'CPU', '16,', 'CC', 'All/Weak', '21.7', '/', '16.7,', 'CFOM', '38.3,', 'best', '39.2,', 'PATFOM', '50.98']
['Try', '93,', 'CPU', '13,', 'CC', 'All/Weak', '19.6', '/', '14.4,', 'CFOM', '34.0,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '94,', 'CPU', '8,', 'CC', 'All/Weak', '21.0', '/', '16.5,', 'CFOM', '37.5,', 'best', '39.2,', 'PATFOM', '49.11']
['Try', '95,', 'CPU', '15,', 'CC', 'All/Weak', '19.7', '/', '14.8,', 'CFOM', '34.4,', 'best', '39.2,', 'PATFOM', '50.43']
['Try', '96,', 'CPU', '3,', 'CC', 'All/Weak', '20.9', '/', '16.4,', 'CFOM', '37.3,', 'best', '39.2,', 'PATFOM', '49.11']
['Try', '97,', 'CPU', '1,', 'CC', 'All/Weak', '21.0', '/', '16.2,', 'CFOM', '37.2,', 'best', '39.2,', 'PATFOM', '47.07']
['Try', '98,', 'CPU', '4,', 'CC', 'All/Weak', '19.8', '/', '14.8,', 'CFOM', '34.6,', 'best', '39.2,', 'PATFOM', '48.61']
['Try', '99,', 'CPU', '2,', 'CC', 'All/Weak', '21.5', '/', '17.0,', 'CFOM', '38.5,', 'best', '39.2,', 'PATFOM', '51.95']
['Try', '100,', 'CPU', '12,', 'CC', 'All/Weak', '20.9', '/', '16.4,', 'CFOM', '37.3,', 'best', '39.2,', 'PATFOM', '49.11']
['Try', '101,', 'CPU', '5,', 'CC', 'All/Weak', '19.8', '/', '14.7,', 'CFOM', '34.5,', 'best', '39.2,', 'PATFOM', '48.61']
['Try', '102,', 'CPU', '7,', 'CC', 'All/Weak', '19.9', '/', '14.8,', 'CFOM', '34.7,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '103,', 'CPU', '9,', 'CC', 'All/Weak', '14.0', '/', '7.1,', 'CFOM', '21.0,', 'best', '39.2,', 'PATFOM', '36.21']
['Try', '104,', 'CPU', '14,', 'CC', 'All/Weak', '20.3', '/', '16.0,', 'CFOM', '36.3,', 'best', '39.2,', 'PATFOM', '50.80']
['Try', '105,', 'CPU', '10,', 'CC', 'All/Weak', '19.5', '/', '14.5,', 'CFOM', '33.9,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '106,', 'CPU', '11,', 'CC', 'All/Weak', '21.2', '/', '16.7,', 'CFOM', '37.9,', 'best', '39.2,', 'PATFOM', '49.32']
['Try', '107,', 'CPU', '16,', 'CC', 'All/Weak', '21.2', '/', '16.6,', 'CFOM', '37.8,', 'best', '39.2,', 'PATFOM', '49.32']
['Try', '108,', 'CPU', '8,', 'CC', 'All/Weak', '20.2', '/', '15.4,', 'CFOM', '35.6,', 'best', '39.2,', 'PATFOM', '51.93']
['Try', '109,', 'CPU', '13,', 'CC', 'All/Weak', '20.0', '/', '15.1,', 'CFOM', '35.1,', 'best', '39.2,', 'PATFOM', '48.18']
['Try', '110,', 'CPU', '6,', 'CC', 'All/Weak', '21.7', '/', '16.7,', 'CFOM', '38.4,', 'best', '39.2,', 'PATFOM', '50.98']
['Try', '111,', 'CPU', '15,', 'CC', 'All/Weak', '21.2', '/', '16.7,', 'CFOM', '37.9,', 'best', '39.2,', 'PATFOM', '49.32']
['Try', '112,', 'CPU', '3,', 'CC', 'All/Weak', '21.0', '/', '16.4,', 'CFOM', '37.5,', 'best', '39.2,', 'PATFOM', '49.11']
['Try', '113,', 'CPU', '1,', 'CC', 'All/Weak', '19.8', '/', '14.8,', 'CFOM', '34.5,', 'best', '39.2,', 'PATFOM', '48.61']
['Try', '114,', 'CPU', '4,', 'CC', 'All/Weak', '19.6', '/', '14.4,', 'CFOM', '34.0,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '115,', 'CPU', '2,', 'CC', 'All/Weak', '21.5', '/', '17.0,', 'CFOM', '38.5,', 'best', '39.2,', 'PATFOM', '53.17']
['Try', '116,', 'CPU', '5,', 'CC', 'All/Weak', '19.9', '/', '14.8,', 'CFOM', '34.7,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '117,', 'CPU', '12,', 'CC', 'All/Weak', '21.2', '/', '16.6,', 'CFOM', '37.8,', 'best', '39.2,', 'PATFOM', '49.32']
['Try', '118,', 'CPU', '7,', 'CC', 'All/Weak', '12.6', '/', '6.0,', 'CFOM', '18.6,', 'best', '39.2,', 'PATFOM', '27.65']
['Try', '119,', 'CPU', '9,', 'CC', 'All/Weak', '21.7', '/', '16.7,', 'CFOM', '38.4,', 'best', '39.2,', 'PATFOM', '50.98']
['Try', '120,', 'CPU', '14,', 'CC', 'All/Weak', '20.3', '/', '15.8,', 'CFOM', '36.1,', 'best', '39.2,', 'PATFOM', '48.18']
['Try', '121,', 'CPU', '10,', 'CC', 'All/Weak', '21.3', '/', '16.3,', 'CFOM', '37.6,', 'best', '39.2,', 'PATFOM', '49.11']
['Try', '122,', 'CPU', '11,', 'CC', 'All/Weak', '21.0', '/', '16.2,', 'CFOM', '37.2,', 'best', '39.2,', 'PATFOM', '47.07']
['Try', '123,', 'CPU', '6,', 'CC', 'All/Weak', '21.2', '/', '16.7,', 'CFOM', '37.9,', 'best', '39.2,', 'PATFOM', '49.32']
['Try', '124,', 'CPU', '13,', 'CC', 'All/Weak', '21.2', '/', '16.6,', 'CFOM', '37.8,', 'best', '39.2,', 'PATFOM', '49.11']
['Try', '125,', 'CPU', '16,', 'CC', 'All/Weak', '19.8', '/', '14.7,', 'CFOM', '34.5,', 'best', '39.2,', 'PATFOM', '48.61']
['Try', '126,', 'CPU', '8,', 'CC', 'All/Weak', '19.8', '/', '14.8,', 'CFOM', '34.5,', 'best', '39.2,', 'PATFOM', '48.61']
['Try', '127,', 'CPU', '15,', 'CC', 'All/Weak', '21.7', '/', '16.7,', 'CFOM', '38.4,', 'best', '39.2,', 'PATFOM', '50.98']
['Try', '128,', 'CPU', '3,', 'CC', 'All/Weak', '19.8', '/', '15.1,', 'CFOM', '34.9,', 'best', '39.2,', 'PATFOM', '49.75']
